Id,Date,Time,TotalIntensity,AverageIntensity
1503960366,4/21/2016,06,0,0
1503960366,4/21/2016,07,3,0.05
1503960366,4/21/2016,08,15,0.25
1503960366,4/21/2016,09,26,0.433333
1503960366,4/21/2016,10,16,0.266667
1503960366,4/21/2016,11,0,0
1503960366,4/21/2016,12,11,0.183333
1503960366,4/21/2016,13,25,0.416667
1503960366,4/21/2016,14,2,0.033333
1503960366,4/21/2016,15,8,0.133333
1503960366,4/21/2016,16,4,0.066667
1503960366,4/21/2016,17,5,0.083333
1503960366,4/21/2016,18,9,0.15
1503960366,4/21/2016,19,8,0.133333
1503960366,4/21/2016,20,92,1.533333
1503960366,4/21/2016,21,21,0.35
1503960366,4/21/2016,22,9,0.15
1503960366,4/21/2016,23,15,0.25
1503960366,4/22/2016,00,0,0
1503960366,4/22/2016,01,0,0
1503960366,4/22/2016,02,0,0
1503960366,4/22/2016,03,0,0
1503960366,4/22/2016,04,0,0
1503960366,4/22/2016,05,0,0
1503960366,4/22/2016,06,0,0
1503960366,4/22/2016,07,0,0
1503960366,4/22/2016,08,0,0
1503960366,4/22/2016,09,13,0.216667
1503960366,4/22/2016,10,2,0.033333
1503960366,4/22/2016,11,34,0.566667
1503960366,4/22/2016,12,2,0.033333
1503960366,4/22/2016,13,4,0.066667
1503960366,4/22/2016,14,0,0
1503960366,4/22/2016,15,10,0.166667
1503960366,4/22/2016,16,4,0.066667
1503960366,4/22/2016,17,18,0.3
1503960366,4/22/2016,18,23,0.383333
1503960366,4/22/2016,19,16,0.266667
1503960366,4/22/2016,20,13,0.216667
1503960366,4/22/2016,21,159,2.65
1503960366,4/22/2016,22,30,0.5
1503960366,4/22/2016,23,54,0.9
1503960366,4/23/2016,00,9,0.15
1503960366,4/23/2016,01,0,0
1503960366,4/23/2016,02,1,0.016667
1503960366,4/23/2016,03,0,0
1503960366,4/23/2016,04,0,0
1503960366,4/23/2016,05,0,0
1503960366,4/23/2016,06,2,0.033333
1503960366,4/23/2016,07,0,0
1503960366,4/23/2016,08,8,0.133333
1503960366,4/23/2016,09,17,0.283333
1503960366,4/23/2016,10,4,0.066667
1503960366,4/23/2016,11,11,0.183333
1503960366,4/23/2016,12,49,0.816667
1503960366,4/23/2016,13,51,0.85
1503960366,4/23/2016,14,20,0.333333
1503960366,4/23/2016,15,15,0.25
1503960366,4/23/2016,16,52,0.866667
1503960366,4/23/2016,17,26,0.433333
1503960366,4/23/2016,18,66,1.1
1503960366,4/23/2016,19,2,0.033333
1503960366,4/23/2016,20,9,0.15
1503960366,4/23/2016,21,54,0.9
1503960366,4/23/2016,22,25,0.416667
1503960366,4/23/2016,23,6,0.1
1503960366,4/24/2016,00,10,0.166667
1503960366,4/24/2016,01,2,0.033333
1503960366,4/24/2016,02,0,0
1503960366,4/24/2016,03,0,0
1503960366,4/24/2016,04,1,0.016667
1503960366,4/24/2016,05,0,0
1503960366,4/24/2016,06,1,0.016667
1503960366,4/24/2016,07,0,0
1503960366,4/24/2016,08,1,0.016667
1503960366,4/24/2016,09,8,0.133333
1503960366,4/24/2016,10,26,0.433333
1503960366,4/24/2016,11,12,0.2
1503960366,4/24/2016,12,12,0.2
1503960366,4/24/2016,13,12,0.2
1503960366,4/24/2016,14,1,0.016667
1503960366,4/24/2016,15,2,0.033333
1503960366,4/24/2016,16,29,0.483333
1503960366,4/24/2016,17,25,0.416667
1503960366,4/24/2016,18,40,0.666667
1503960366,4/24/2016,19,131,2.183333
1503960366,4/24/2016,20,18,0.3
1503960366,4/24/2016,21,17,0.283333
1503960366,4/24/2016,22,7,0.116667
1503960366,4/24/2016,23,10,0.166667
1503960366,4/25/2016,00,8,0.133333
1503960366,4/25/2016,01,3,0.05
1503960366,4/25/2016,02,6,0.1
1503960366,4/25/2016,03,0,0
1503960366,4/25/2016,04,2,0.033333
1503960366,4/25/2016,05,1,0.016667
1503960366,4/25/2016,06,0,0
1503960366,4/25/2016,07,3,0.05
1503960366,4/25/2016,08,22,0.366667
1503960366,4/25/2016,09,46,0.766667
1503960366,4/25/2016,10,12,0.2
1503960366,4/25/2016,11,24,0.4
1503960366,4/25/2016,12,19,0.316667
1503960366,4/25/2016,13,13,0.216667
1503960366,4/25/2016,14,5,0.083333
1503960366,4/25/2016,15,13,0.216667
1503960366,4/25/2016,16,10,0.166667
1503960366,4/25/2016,17,8,0.133333
1503960366,4/25/2016,18,6,0.1
1503960366,4/25/2016,19,86,1.433333
1503960366,4/25/2016,20,30,0.5
1503960366,4/25/2016,21,132,2.2
1503960366,4/25/2016,22,11,0.183333
1503960366,4/25/2016,23,3,0.05
1503960366,4/26/2016,00,4,0.066667
1503960366,4/26/2016,01,11,0.183333
1503960366,4/26/2016,02,0,0
1503960366,4/26/2016,03,11,0.183333
1503960366,4/26/2016,04,0,0
1503960366,4/26/2016,05,1,0.016667
1503960366,4/26/2016,06,0,0
1503960366,4/26/2016,07,3,0.05
1503960366,4/26/2016,08,13,0.216667
1503960366,4/26/2016,09,31,0.516667
1503960366,4/26/2016,10,22,0.366667
1503960366,4/26/2016,11,17,0.283333
1503960366,4/26/2016,12,10,0.166667
1503960366,4/26/2016,13,42,0.7
1503960366,4/26/2016,14,60,1
1503960366,4/26/2016,15,9,0.15
1503960366,4/26/2016,16,22,0.366667
1503960366,4/26/2016,17,5,0.083333
1503960366,4/26/2016,18,72,1.2
1503960366,4/26/2016,19,15,0.25
1503960366,4/26/2016,20,26,0.433333
1503960366,4/26/2016,21,14,0.233333
1503960366,4/26/2016,22,9,0.15
1503960366,4/26/2016,23,21,0.35
1503960366,4/27/2016,00,10,0.166667
1503960366,4/27/2016,01,5,0.083333
1503960366,4/27/2016,02,2,0.033333
1503960366,4/27/2016,03,0,0
1503960366,4/27/2016,04,0,0
1503960366,4/27/2016,05,0,0
1503960366,4/27/2016,06,0,0
1503960366,4/27/2016,07,0,0
1503960366,4/27/2016,08,0,0
1503960366,4/27/2016,09,33,0.55
1503960366,4/27/2016,10,27,0.45
1503960366,4/27/2016,11,23,0.383333
1503960366,4/27/2016,12,12,0.2
1503960366,4/27/2016,13,13,0.216667
1503960366,4/27/2016,14,35,0.583333
1503960366,4/27/2016,15,6,0.1
1503960366,4/27/2016,16,7,0.116667
1503960366,4/27/2016,17,13,0.216667
1503960366,4/27/2016,18,73,1.216667
1503960366,4/27/2016,19,150,2.5
1503960366,4/27/2016,20,70,1.166667
1503960366,4/27/2016,21,20,0.333333
1503960366,4/27/2016,22,0,0
1503960366,4/27/2016,23,0,0
1503960366,4/28/2016,00,0,0
1503960366,4/28/2016,01,10,0.166667
1503960366,4/28/2016,02,0,0
1503960366,4/28/2016,03,0,0
1503960366,4/28/2016,04,0,0
1503960366,4/28/2016,05,0,0
1503960366,4/28/2016,06,0,0
1503960366,4/28/2016,07,1,0.016667
1503960366,4/28/2016,08,11,0.183333
1503960366,4/28/2016,09,38,0.633333
1503960366,4/28/2016,10,19,0.316667
1503960366,4/28/2016,11,10,0.166667
1503960366,4/28/2016,12,16,0.266667
1503960366,4/28/2016,13,33,0.55
1503960366,4/28/2016,14,47,0.783333
1503960366,4/28/2016,15,5,0.083333
1503960366,4/28/2016,16,10,0.166667
1503960366,4/28/2016,17,11,0.183333
1503960366,4/28/2016,18,56,0.933333
1503960366,4/28/2016,19,1,0.016667
1503960366,4/28/2016,20,50,0.833333
1503960366,4/28/2016,21,21,0.35
1503960366,4/28/2016,22,2,0.033333
1503960366,4/28/2016,23,48,0.8
1503960366,4/29/2016,00,9,0.15
1503960366,4/29/2016,01,0,0
1503960366,4/29/2016,02,4,0.066667
1503960366,4/29/2016,03,0,0
1503960366,4/29/2016,04,0,0
1503960366,4/29/2016,05,0,0
1503960366,4/29/2016,06,0,0
1503960366,4/29/2016,07,3,0.05
1503960366,4/29/2016,08,13,0.216667
1503960366,4/29/2016,09,33,0.55
1503960366,4/29/2016,10,4,0.066667
1503960366,4/29/2016,11,4,0.066667
1503960366,4/29/2016,12,6,0.1
1503960366,4/29/2016,13,6,0.1
1503960366,4/29/2016,14,56,0.933333
1503960366,4/29/2016,15,23,0.383333
1503960366,4/29/2016,16,10,0.166667
1503960366,4/29/2016,17,9,0.15
1503960366,4/29/2016,18,5,0.083333
1503960366,4/29/2016,19,11,0.183333
1503960366,4/29/2016,20,16,0.266667
1503960366,4/29/2016,21,20,0.333333
1503960366,4/29/2016,22,27,0.45
1503960366,4/29/2016,23,56,0.933333
1503960366,4/30/2016,00,1,0.016667
1503960366,4/30/2016,01,7,0.116667
1503960366,4/30/2016,02,0,0
1503960366,4/30/2016,03,1,0.016667
1503960366,4/30/2016,04,0,0
1503960366,4/30/2016,05,0,0
1503960366,4/30/2016,06,0,0
1503960366,4/30/2016,07,0,0
1503960366,4/30/2016,08,3,0.05
1503960366,4/30/2016,09,11,0.183333
1503960366,4/30/2016,10,17,0.283333
1503960366,4/30/2016,11,7,0.116667
1503960366,4/30/2016,12,4,0.066667
1503960366,4/30/2016,13,11,0.183333
1503960366,4/30/2016,14,22,0.366667
1503960366,4/30/2016,15,26,0.433333
1503960366,4/30/2016,16,99,1.65
1503960366,4/30/2016,17,55,0.916667
1503960366,4/30/2016,18,71,1.183333
1503960366,4/30/2016,19,4,0.066667
1503960366,4/30/2016,20,5,0.083333
1503960366,4/30/2016,21,22,0.366667
1503960366,4/30/2016,22,47,0.783333
1503960366,4/30/2016,23,28,0.466667
1503960366,5/1/2016,00,9,0.15
1503960366,5/1/2016,01,8,0.133333
1503960366,5/1/2016,02,2,0.033333
1503960366,5/1/2016,03,1,0.016667
1503960366,5/1/2016,04,0,0
1503960366,5/1/2016,05,0,0
1503960366,5/1/2016,06,0,0
1503960366,5/1/2016,07,3,0.05
1503960366,5/1/2016,08,6,0.1
1503960366,5/1/2016,09,12,0.2
1503960366,5/1/2016,10,6,0.1
1503960366,5/1/2016,11,10,0.166667
1503960366,5/1/2016,12,10,0.166667
1503960366,5/1/2016,13,5,0.083333
1503960366,5/1/2016,14,25,0.416667
1503960366,5/1/2016,15,21,0.35
1503960366,5/1/2016,16,23,0.383333
1503960366,5/1/2016,17,33,0.55
1503960366,5/1/2016,18,70,1.166667
1503960366,5/1/2016,19,14,0.233333
1503960366,5/1/2016,20,6,0.1
1503960366,5/1/2016,21,25,0.416667
1503960366,5/1/2016,22,50,0.833333
1503960366,5/1/2016,23,76,1.266667
1503960366,5/2/2016,00,0,0
1503960366,5/2/2016,01,7,0.116667
1503960366,5/2/2016,02,0,0
1503960366,5/2/2016,03,1,0.016667
1503960366,5/2/2016,04,0,0
1503960366,5/2/2016,05,0,0
1503960366,5/2/2016,06,0,0
1503960366,5/2/2016,07,3,0.05
1503960366,5/2/2016,08,12,0.2
1503960366,5/2/2016,09,30,0.5
1503960366,5/2/2016,10,19,0.316667
1503960366,5/2/2016,11,16,0.266667
1503960366,5/2/2016,12,64,1.066667
1503960366,5/2/2016,13,21,0.35
1503960366,5/2/2016,14,13,0.216667
1503960366,5/2/2016,15,11,0.183333
1503960366,5/2/2016,16,24,0.4
1503960366,5/2/2016,17,12,0.2
1503960366,5/2/2016,18,9,0.15
1503960366,5/2/2016,19,13,0.216667
1503960366,5/2/2016,20,105,1.75
1503960366,5/2/2016,21,25,0.416667
1503960366,5/2/2016,22,28,0.466667
1503960366,5/2/2016,23,17,0.283333
1503960366,5/3/2016,00,3,0.05
1503960366,5/3/2016,01,6,0.1
1503960366,5/3/2016,02,1,0.016667
1503960366,5/3/2016,03,5,0.083333
1503960366,5/3/2016,04,0,0
1503960366,5/3/2016,05,0,0
1503960366,5/3/2016,06,2,0.033333
1503960366,5/3/2016,07,3,0.05
1503960366,5/3/2016,08,11,0.183333
1503960366,5/3/2016,09,24,0.4
1503960366,5/3/2016,10,25,0.416667
1503960366,5/3/2016,11,12,0.2
1503960366,5/3/2016,12,17,0.283333
1503960366,5/3/2016,13,23,0.383333
1503960366,5/3/2016,14,26,0.433333
1503960366,5/3/2016,15,46,0.766667
1503960366,5/3/2016,16,33,0.55
1503960366,5/3/2016,17,18,0.3
1503960366,5/3/2016,18,86,1.433333
1503960366,5/3/2016,19,5,0.083333
1503960366,5/3/2016,20,1,0.016667
1503960366,5/3/2016,21,37,0.616667
1503960366,5/3/2016,22,58,0.966667
1503960366,5/3/2016,23,10,0.166667
1503960366,5/4/2016,00,17,0.283333
1503960366,5/4/2016,01,2,0.033333
1503960366,5/4/2016,02,0,0
1503960366,5/4/2016,03,0,0
1503960366,5/4/2016,04,0,0
1503960366,5/4/2016,05,0,0
1503960366,5/4/2016,06,0,0
1503960366,5/4/2016,07,0,0
1503960366,5/4/2016,08,4,0.066667
1503960366,5/4/2016,09,22,0.366667
1503960366,5/4/2016,10,26,0.433333
1503960366,5/4/2016,11,7,0.116667
1503960366,5/4/2016,12,12,0.2
1503960366,5/4/2016,13,16,0.266667
1503960366,5/4/2016,14,67,1.116667
1503960366,5/4/2016,15,7,0.116667
1503960366,5/4/2016,16,6,0.1
1503960366,5/4/2016,17,11,0.183333
1503960366,5/4/2016,18,62,1.033333
1503960366,5/4/2016,19,19,0.316667
1503960366,5/4/2016,20,30,0.5
1503960366,5/4/2016,21,39,0.65
1503960366,5/4/2016,22,8,0.133333
1503960366,5/4/2016,23,0,0
1503960366,5/5/2016,00,6,0.1
